ID,SECTOR,COMPANY,CAGR ,PE RATIO,MARKET CAP,MAX ALLC
1,FINANCE,BAJAJ FINANCE,40,52,LARGE,10
2,FINANCE,AAVAS FINANCE,15,55,MID,5
3,FINANCE,HOME FIRST,25,40,MID,3
4,FOOTWEAR,RELAXO,37,90,MID,8
5,INFRA,PIDILITE,27,91,LARGE,8
6,INFRA,ASTRAL,42,70,LARGE,8
7,RETAIL,DMART,45,150,LARGE,10
8,CONSUMER,TITAN,40,85,LARGE,6
9,INFRA,POLYCAB,70,33,LARGE,8
10,INFRA,SIRCA PAINTS,25,41,SMALL,3
11,TECH,KSOLVES,40,50,SMALL,3
12,TECH,HAPPIEST MINDS,12,80,MID,5
13,TECH,LTIMINDTREE,18,32,LARGE,6
14,TECH,INFOBEANS,46,27,SMALL,3
15,CONSUMER,JUBILANT FOOD,50,100,LARGE,5
16,CONSUMER,VARUN BEVERAGES,39,54,LARGE,5
17,CONSUMER,HINDUSTAN FOODS,70,88,SMALL,3
18,CONSUMER,AWL,4,70,SMALL,2
19,CHEMICAL,VINATI ORGANIC,80,60,MID,3
20,CHEMICAL,NEOGEN CHEMICAL,67,56,SMALL,4
21,CHEMICAL,ROSSARI BIOTECH,-5,70,SMALL,3
22,CHEMICAL,CLEANSCIENCE,-8,90,MID,5
23,CHEMICAL,AETHER,8,50,SMALL,3
24,CHEMICAL,FINE ORGANICS,30,40,MID,5
25,CONSUMER,PRINCE PIPE,35,28,MID,4
26,AUTO,SONA BLW,12,140,LARGE,2
27,INFRA,GREENPANEL,30,25,MID,3
28,FINANCE,ANGELONE,60,40,MID,2
29,INFRA,HP ADHESIVE,25,60,SMALL,2
30,TECH,AFFLE,30,70,MID,2
31,TECH,ROUTE MOBILE,-10,70,MID,2
32,FOOTWEAR,CAMPUS,-5,100,MID,2
33,INFRA,INDIGO PAINTS,-20,90,MID,4
34,PHARMA ,SUPRIYA LIFESCIENCE,30,22,SMALL,2
35,PHARMA,SIGACHI,45,21,SMALL,2
36,RETAIL,MANYAVAR,15,93,MID,3
